id,name,category,price,stock_quantity,supplier_id,sku,description,weight,dimensions,warranty_months,created_at
123,Advanced Gamin 3971,Gaming,324.63,129,33,GAM-99925,"High before woman my experience consumer. Child weight question arrive. Consider require fear better central throw.
Walk tonight appear dream others door. Sell his boy art let imagine machine.",4.45,34 x 14 x 2 cm,36,2024-04-08T18:32:36.805534
124,Premium Accessorie 3718,Accessories,48.73,15,24,ACC-89395,"Among spend which per president cold art. Event economy quite yourself successful defense subject. Animal school none feel house.
Rise your there decision. Whatever five radio garden end sell laugh.",2.791,25 x 29 x 9 cm,24,2023-10-08T23:52:08.778103
125,Premium Audi 1441,Audio,446.13,29,8,AUD-83946,"Several Mrs skin power back all story. Public good spend still group concern. By have cover.
Sea serve quite remember course.",2.783,26 x 11 x 10 cm,24,2025-03-08T18:50:32.051208
126,Smart Accessorie 8625,Accessories,207.29,5,29,ACC-76895,"Summer age wide question pass. Third ability interview pull practice take follow.
Business million many military analysis. Another truth mother first hot. Bank occur agent scene within interest.",2.322,26 x 18 x 8 cm,6,2023-11-25T08:19:05.488379
127,Elite Gamin 4269,Gaming,1517.03,0,28,GAM-15936,Start mind door. Simply people shake personal. By window true help three really site artist.,0.412,11 x 7 x 8 cm,,2024-04-30T22:10:29.090849
128,Ultra Smart Hom 2318,Smart Home,489.82,158,29,SMA-60132,"Court bill organization attack smile cover of PM. Green loss per control case. Art find job.
On must certainly light owner. Hard account only question arm. Standard nice area gas with policy cut.",4.543,22 x 7 x 9 cm,36,2023-11-11T12:02:14.956422
129,Xiaomi 14 Pro ,Smartphones,1472.34,202,30,SMA-49107,"Really level defense lose shoulder.
Day contain wrong guy available air. Central key place tree. Analysis ahead cup company those responsibility.",2.768,27 x 17 x 4 cm,36,2023-07-21T23:41:10.241186
130,Max Tablet 3188,Tablets,911.28,13,27,TAB-96533,"Some court her hear. Involve player TV several onto take family chance.
Picture evidence call. Why though decide bank likely professional ask.",4.688,38 x 5 x 4 cm,12,2023-09-27T01:38:15.043263
131,Pro Component 7414,Components,709.22,9,26,COM-15798,Nearly care base know goal. American mention from later it happen marriage event. Conference doctor population.,2.745,34 x 29 x 1 cm,36,2023-10-21T11:46:14.086626
132,Advanced Audi 9538,Audio,498.44,49,20,AUD-41051,"Your sell science treatment. Show example get. Watch state serious activity pressure writer. Tend dinner rich decide.
Only need light sport future beat suffer. Show recently decide last next hear.",4.93,26 x 12 x 7 cm,12,2024-07-23T06:46:07.499267
133,Premium Wearable 2969,Wearables,399.04,177,42,WEA-55143,"Off hospital high we as hit little forget. Police fight commercial push concern step owner. Cost attorney white. Day fact modern lawyer happy.
Force travel hospital writer.",3.95,20 x 27 x 7 cm,36,2025-05-28T04:44:50.538915
134,Ultra Smart Hom 8913,Smart Home,429.19,127,30,SMA-28920,Station painting east forget. These least office say explain thing lead. Hospital statement sure indeed conference.,2.856,40 x 18 x 9 cm,6,2023-11-02T17:04:00.941724
135,Bose QuietComfort Pro,Audio,685.35,74,4,AUD-34966,"Ago police put left gas human create.
Economy remember carry.
Leave bar prevent require just likely evidence. Color adult beyond family. Scientist collection provide action event key concern.",3.401,29 x 6 x 2 cm,24,2024-03-15T13:39:10.758598
136,Ultra Camera 5555,Cameras,3663.28,105,48,CAM-25376,"Appear above significant short up hear. Customer administration agreement address star.
When benefit structure professional right. Indeed blue force.",2.447,17 x 27 x 10 cm,6,2025-05-27T19:02:16.679253
137,Smart Audi 4737,Audio,450.24,28,33,AUD-57139,"Edge behind food piece. Question win really forward play this. Within project attack adult treatment large.
Me relate actually again serve. Final scene serious people. Case material dark heart.",2.383,35 x 28 x 8 cm,36,2023-12-24T09:29:53.492188
138,Elite Audi 849,Audio,215.96,0,36,AUD-44180,"Social increase spend seek director run garden.
Approach truth write soon recent develop their. Focus kind accept thank attorney court plant.",2.938,23 x 14 x 3 cm,24,2023-12-29T16:11:19.634257
139,Premium Smart Hom 4126,Smart Home,337.67,3,47,SMA-74044,"Even sit bag win huge. Likely institution participant item. Standard soldier after high.
Organization check risk either less. Exist no lose four resource cultural trouble.
Technology room hear.",2.504,15 x 28 x 6 cm,6,2024-02-28T04:17:00.260469
140,Premium Tablet 1062,Tablets,1031.02,70,4,TAB-97584,"Unit save drug alone spend piece. Recently population end.
Effect own weight success. Bring begin represent. Huge only too million country institution.",2.121,36 x 25 x 4 cm,24,2023-06-08T22:04:35.851227
141,Acer Swift 3 Plus,Laptops,2521.87,45,32,LAP-96413,,2.331,23 x 5 x 1 cm,36,2023-10-05T05:48:14.122023
142,Max Wearable 380,Wearables,588.5,0,7,WEA-33496,"Best similar individual. Pressure run color hear region cup. Me book note defense.
Seek speak court work. Key tree body player bag beat.
Ask ahead doctor magazine set. Article seem account.",2.669,17 x 11 x 10 cm,36,2025-04-09T22:49:32.173078
143,Pro Gamin 6212,Gaming,972.1,2,20,GAM-39603,"But most week seem eat later rather thank.
Produce about point walk focus plant. Wide save question. Parent hundred partner bank into.",4.255,30 x 25 x 1 cm,6,2023-10-06T17:28:07.180778
144,Premium Smart Hom 7898,Smart Home,34.44,16,42,SMA-66873,"Itself respond civil upon. Short detail election live today but.
Plant man somebody four difference office under. Popular help response save.",2.873,37 x 8 x 9 cm,24,2024-12-18T15:14:43.635456
145,Advanced Audi 9386,Audio,84.92,0,35,AUD-46749,"Professional opportunity blood across system firm staff. Student matter lay own certainly.
Floor maybe read event summer off piece democratic.",0.261,39 x 15 x 1 cm,24,2024-03-16T10:30:22.644769
146,Pro Smart Hom 5003,Smart Home,143.02,4,22,SMA-80852,"Nature front question. Serious hospital month executive recent crime.
Best food social tend approach various. Leader clear case receive fact. Decide source crime prepare.",3.725,35 x 27 x 2 cm,36,2024-05-26T03:52:24.664416
147,ThinkPad X1 Carbon Pro,Laptops,2876.32,44,2,LAP-52778,Present heart reality somebody. Sing ten practice every. Happen build bar majority protect meeting. Only would look.,2.959,24 x 20 x 4 cm,6,2024-06-17T06:38:39.051184
148,Ultra Smart Hom 9698,Smart Home,70.28,45,46,SMA-42302,Research so buy send whole today Congress. Receive accept language fire always offer present because. Surface alone woman media hair. Commercial with probably eat animal watch toward.,1.413,22 x 27 x 3 cm,36,2025-02-18T13:59:35.566634
149,Pro Accessorie 1599,Accessories,15413.379674140351,29,9,ACC-23399,"Own democratic grow campaign. Instead near end power clear lay war put.
Data picture especially plan population research nor. Painting information child yeah its ago page.",2.212,27 x 22 x 9 cm,12,2025-05-19T17:23:00.598155
150,Pro Smartphone 9880,Smartphones,621.76,4,25,DUP-7779,Weight situation but money then open. Believe give occur example even between answer.,3.652,27 x 12 x 10 cm,6,2024-10-11T15:39:45.619686
151,Ultra Tablet 4505,Tablets,667.78,67,27,TAB-46170,"Consumer worry sometimes maybe every into walk. Figure teach water image fine. Play baby drive behavior.
Be experience upon space. While interest meet. Look middle your thousand.",3.935,21 x 13 x 4 cm,6,2024-08-22T05:36:31.751404
152,Premium Component 3303,Components,152.78,1,40,COM-53544,Who purpose think model different avoid style. Government anything many color wide full quickly. Surface tax face low enter able piece. Design fight value poor stay along.,4.325,24 x 15 x 7 cm,24,2024-05-13T01:34:55.957401
153,Advanced Gamin 3390,Gaming,437.51,31,48,GAM-48200,"Hair throughout movie especially writer. Class government its grow that cup. Expect card inside former all.
Where work budget major many race camera. Maybe type successful home body blue.",2.506,28 x 30 x 4 cm,36,2024-10-11T17:19:47.294812
154,Max Smart Hom 1965,Smart Home,123.91,190,2,SMA-82102,"With scene its face magazine set. Pay role cost exactly boy. Yes easy star cup relationship.
Particularly country talk pick chance build husband. Wrong upon international pattern before.",2.362,32 x 11 x 8 cm,12,2024-06-10T16:12:15.894537
155,Advanced Smart Hom 8280,Smart Home,172.33,22,25,SMA-65460,"Body hair wall represent east.
American appear seat deep.
Training beyond continue way hair. Born protect raise side candidate. Scientist guess single more he practice.",4.954,25 x 23 x 7 cm,6,2024-01-10T10:51:31.398302
156,Pro Wearable 5990,Wearables,668.61,72,43,WEA-42536,Move child campaign industry represent. Window thus large response treat attack industry. So cold ever whose face what article.,0.915,29 x 6 x 10 cm,6,2025-03-07T10:26:33.543016
157,Smart Accessorie 7152,Accessories,38.6,20,36,ACC-77999,,2.919,24 x 16 x 7 cm,24,2024-12-23T16:18:07.878649
158,Pro Accessorie 8009,Accessories,130.63,11,23,ACC-28569,Reveal read watch either. Plant nearly stage determine environmental ok space send. Land role its chance. Behavior consider continue television country make role.,2.331,16 x 21 x 8 cm,12,2024-12-03T09:56:47.142142
159,Advanced Camera 7512,Cameras,1410.98,0,2,CAM-25084,"Between himself body add store various car show.
Voice outside society act. My stand system be.
Service throughout spring film look during myself. Physical but stay bill father.",3.275,31 x 30 x 3 cm,24,2025-04-08T16:42:54.189454
160,Ultra Wearable 9142,Wearables,491.89,35,41,WEA-63090,"Page concern most. Consider interesting throw reach person expert then even.
Usually specific represent baby able value. Sing chair challenge land. Spring both into risk certain follow camera.",3.238,23 x 17 x 1 cm,24,2024-12-01T20:03:57.701540
161,Premium Camera 7137,Cameras,2907.52,2,37,CAM-18200,"Gun data sure gun listen. Tv arrive glass support.
Leave structure necessary use inside. Still argue case while region.",4.373,15 x 16 x 6 cm,12,2023-06-13T08:16:18.981103
162,Elite Gamin 8746,Gaming,695.47,4,8,GAM-86939,"She like cell month. Like reveal know population actually. Choose thing allow seem.
Action strategy quite then. Represent election occur fill dinner use even. Miss within by deep.",4.243,29 x 10 x 5 cm,12,2023-10-19T08:57:11.661483
163,Max Tablet 2031,Tablets,272.8,692,25,TAB-76954,"Drive be now. Nor so animal.
Want across ground executive. Matter fire hospital green can push. Imagine scientist big space change onto.",0.776,22 x 18 x 3 cm,24,2024-02-22T10:24:44.226697
164,Ultra Wearable 8122,Wearables,230.97,34,1,WEA-57059,"Three similar hold. Young parent when note yes. Source central that natural.
Behind finish value claim evidence guy become. Represent leave worry without.",1.056,22 x 22 x 9 cm,6,2024-09-16T13:28:56.325493
165,Elite Camera 7372,Cameras,605.88,58,19,CAM-38905,"Account table fact citizen human authority hold. Protect give life movement stand board Congress.
Should current forget fish you main. Boy lawyer nation we certainly degree nothing.",1.202,19 x 10 x 8 cm,6,2024-02-09T01:38:03.914324
166,Premium Wearable 1954,Wearables,287.52,40,35,WEA-58085,"Cup walk loss movement. Whole join tree now.
Situation others back property pattern food worry.
Character learn challenge. Box wide image minute about late. Plant police official already.",0.304,33 x 19 x 9 cm,6,2024-06-02T20:02:17.163993
167,Advanced Smartphone 4155,Smartphones,1499.11,166,29,SMA-21401,"Improve goal my mission share box. Learn health need class. High suddenly read join exist per.
South billion power pattern. Billion seek perhaps name plant me.
System deep since necessary boy.",0.675,35 x 12 x 4 cm,36,2025-02-07T09:29:18.175447
168,Advanced Component 7115,Components,156.45,19,37,COM-17780,"Fish color occur involve new hot pattern hotel. Soon official can. Within community tough military join between.
Brother officer hot several true study city. Data behavior join pick order agreement.",1.477,27 x 10 x 6 cm,36,2024-07-31T10:29:06.796254
169,Smart Gamin 8528,Gaming,1390.67,12,4,GAM-63948,"Learn other blood executive. Behavior management guess stuff.
Make against available where. Decision information threat plant. Speak conference act condition note parent all.",4.349,14 x 27 x 3 cm,36,2023-12-16T16:47:15.564983
170,Advanced Audi 6534,Audio,483.07,23,29,AUD-59174,Well give necessary family seat. Job watch two economic cup suffer response. Bill soldier onto close day reveal.,3.994,34 x 7 x 7 cm,36,2023-10-13T15:30:48.959372
171,Elite Accessorie 8096,Accessories,10.72,1,41,ACC-70089,So group authority prevent head single. Act read response degree. Somebody together no history own money bill.,1.855,12 x 30 x 9 cm,6,2023-09-02T21:03:07.828982
172,Max Audi 4746,Audio,483.45,195,44,AUD-55054,Force him office expect popular task write treatment. Capital whom already mouth month.,0.325,30 x 30 x 8 cm,,2023-08-18T06:46:14.013372
173,Elite Tablet 7579,Tablets,47901.58888488092,2,42,TAB-27290,"Stay catch year. Difficult because right speech staff Mr.
Employee size book.
Enough reach social here. Understand on build floor.",4.385,38 x 13 x 2 cm,36,2023-08-03T17:01:42.096361
174,Advanced Smartphone 2811,Smartphones,1013.29,0,28,SMA-40689,"Process same day back will. Defense provide life his. Bit decade opportunity month teach set find.
Summer black candidate true. Window test message sister could everyone. Rather week officer bill.",3.548,10 x 11 x 8 cm,24,2024-06-05T01:40:47.240954
175,Advanced Wearable 7391,Wearables,34779.85840843136,13,45,WEA-65353,"Apply evening best possible rule institution. Country computer every parent million. Race position where detail.
Offer draw mother.",0.447,22 x 7 x 2 cm,36,2023-12-31T14:13:19.343457
176,Xbox Series X Max,Gaming,1170.25,5,23,GAM-67684,"Continue traditional performance school.
Fire attorney cost tonight. While program into again.
Color set act goal. On major easy body standard note wrong.",3.178,14 x 18 x 10 cm,24,2024-11-03T23:39:11.466915
177,Ultra Smartphone 2117,Smartphones,699.24,420,16,SMA-28327,Machine establish mind policy challenge improve detail yes. Marriage each scientist wind grow season. Turn help blue event phone.,0.513,27 x 24 x 10 cm,36,2025-04-11T13:19:23.910411
178,Advanced Laptop 5042,Laptops,2438.7,597,42,LAP-48737,"Race model face newspaper class main ask. Administration American executive or apply.
Involve produce a. Case these size maybe when.",3.245,40 x 12 x 8 cm,24,2024-07-20T03:40:35.257635
179,Advanced Camera 9830,Cameras,3588.28,207,9,CAM-51480,Cause should economic indicate current figure father until. National heavy then join catch kind finish. Life into inside improve agree next.,4.211,23 x 16 x 9 cm,6,2025-02-06T05:56:09.898186
180,iPhone 15 Pro,Smartphones,251.77,9,33,SMA-62163,"Establish worry blood organization. Not real ten building once.
Reduce might no. Carry time policy choice pick rest view. Perhaps customer attack check they mind easy.",3.592,34 x 18 x 7 cm,12,2024-08-28T01:14:44.855412
181,Premium Wearable 2601,Wearables,316.93,0,10,WEA-36633,Player continue stand price. Memory record customer lose. Property where manage property hospital.,2.015,30 x 29 x 2 cm,6,2024-06-03T22:28:14.351282
182,AirPods Pro 2nd Gen Ultra,Audio,509.22,229,48,AUD-96252,,0.162,14 x 27 x 1 cm,36,2024-11-17T03:19:33.183746
183,Premium Wearable 4347,Wearables,188.85,23,50,WEA-25473,Two artist economy also seek kid. Paper subject type fly recognize help. News cultural make quickly different score its.,1.742,23 x 13 x 9 cm,12,2024-06-24T00:52:12.469938
184,Elite Camera 8468,Cameras,2148.56,791,17,CAM-30618,"Now list goal peace next. Soon keep personal them.
Camera military beyond material. Own former difference. Two edge reflect attack the.",4.482,31 x 28 x 2 cm,12,2025-04-04T08:47:00.482381
185,Pro Laptop 4106,Laptops,18198.83117679707,972,36,LAP-14635,,2.785,30 x 18 x 4 cm,6,2023-07-12T07:37:10.786210
186,Max Accessorie 1376,Accessories,44.63,64,3,ACC-77603,Involve interview case just. Work happy create job around discussion open dinner. Nothing yard address rest spend baby camera.,0.438,24 x 14 x 5 cm,6,2025-03-20T22:30:56.081540
187,Max Laptop 9337,Laptops,2796.86,2,32,LAP-87554,Require walk sister fall president money. Five must bit get improve.,2.94,33 x 22 x 4 cm,6,2025-02-23T11:14:15.607086
188,HP Spectre x360 Pro,Laptops,803.95,48,7,LAP-50306,And day continue issue appear figure. Several visit travel senior from stock energy. Describe agree rise perform tend site up sell.,3.458,23 x 20 x 1 cm,24,2023-12-26T06:37:07.842967
189,Xbox Series X ,Gaming,1801.6,168,38,GAM-21128,"Your side fast number. Past gun process.
Buy nothing fly. Summer kitchen admit across already. Lose such design around voice everybody. Necessary well key election skill employee manager dinner.",0.754,36 x 17 x 2 cm,12,2024-11-09T05:53:22.911039
190,Advanced Smart Hom 2241,Smart Home,152.67,26,45,SMA-61505,"Window administration suddenly support music. Over glass back.
Memory down for he. Author interview executive agency parent growth. Today hear wall family all happy.",1.699,24 x 13 x 4 cm,24,2024-09-26T04:46:03.763817
191,Smart Tablet 9679,Tablets,260.94,4,8,TAB-63282,Several power western when yeah not. Piece safe much building these sometimes parent.,4.827,16 x 19 x 5 cm,12,2024-04-27T04:36:38.651917
192,Pixel 8 Pro ,Smartphones,41796.239190151806,26,23,SMA-42534,Notice step by Mrs simply. Purpose program painting somebody game brother. Inside work office plan significant tonight.,0.34,19 x 13 x 3 cm,,2025-03-20T18:45:58.969658
193,Smart Smart Hom 7508,Smart Home,288.56,249,8,SMA-28322,,4.169,17 x 9 x 4 cm,36,2025-03-21T11:01:41.214684
194,Max Smartphone 1328,Smartphones,3223.611157625128,47,6,SMA-26880,Pattern yes and school great large important last. Eye local care contain she trouble. Base time order have power here just. Reveal evidence significant discussion manage answer military.,4.164,20 x 8 x 1 cm,12,2023-12-31T22:59:27.995758
195,Premium Tablet 7196,Tablets,564.75,7,12,TAB-65923,"Send under project cell deal stuff senior agree. Whether music sometimes.
Strategy ago data walk number rule minute.",4.551,18 x 13 x 8 cm,12,2024-06-12T20:27:20.569504
196,Premium Component 4126,Components,508.91,0,4,COM-72787,,1.977,23 x 11 x 9 cm,12,2024-05-27T07:51:18.938359
197,Smart Smart Hom 5983,Smart Home,397.27,28,21,SMA-75849,Our myself far despite while to. Information language easy interesting computer. Produce girl huge campaign think style. Over reach ahead environmental Democrat surface important.,0.981,20 x 24 x 4 cm,,2024-08-25T05:40:11.024593
198,Steam Deck ,Gaming,1209.58,620,16,GAM-23124,"Painting after reveal sort. Sister four good she. Pressure million gun cup.
How responsibility face claim hear including need. Vote already after wait bill.",1.406,36 x 30 x 1 cm,24,2024-03-15T22:30:55.296973
199,Smart Component 6463,Components,842.44,2,21,COM-87662,Size interesting sea few learn. Enough prevent likely fact. Develop image everything expect. Media him year road week several research.,3.518,39 x 23 x 1 cm,36,2023-08-04T12:13:00.019539
200,Premium Component 2428,Components,204.47,37,32,COM-33010,"Study model style set arrive management in scientist. Already ready out the. Real sense some nation fine.
Leave lot never science run TV. Recognize heart series class security coach.",0.375,29 x 12 x 1 cm,12,2024-06-20T10:54:30.521873
201,Premium Accessorie 3400,Accessories,108.82,96,4,ACC-52413,,2.974,39 x 9 x 2 cm,36,2023-10-31T14:02:44.696347
202,Advanced Smartphone 6581,Smartphones,637.53,133,47,SMA-30644,Mind economy leg view until result. Clearly resource listen fish. Change attack with find. Current behind learn behind person.,3.98,40 x 20 x 6 cm,36,2023-08-17T23:22:52.564148
203,Smart Audi 2972,Audio,600.5,24,45,AUD-10235,Population him offer table painting whom say pattern. Decide able discussion describe upon past century. Themselves follow time appear memory keep professor.,2.019,34 x 23 x 1 cm,36,2024-10-16T21:03:15.893455
204,Ultra Component 9365,Components,506.26,135,23,COM-41194,Present concern term talk side generation. Degree nice young vote him condition. Cultural guess crime.,0.923,38 x 7 x 6 cm,36,2023-07-02T03:06:38.306077
205,AirPods Pro 2nd Gen Plus,Audio,131.03,6,47,AUD-67438,"Thus check save that capital information suffer argue.
Best name work create pass admit. Today college worry reveal hand add.",0.915,23 x 20 x 7 cm,6,2024-02-08T15:42:00.185054
206,Smart Smartphone 9570,Smartphones,1093.31,2,19,SMA-14379,,1.38,13 x 7 x 6 cm,6,2024-07-23T06:27:35.497557
207,Advanced Tablet 1328,Tablets,1093.03,74,31,TAB-90431,,2.213,30 x 10 x 10 cm,24,2025-05-30T03:33:56.531544
208,ThinkPad X1 Carbon Max,Laptops,2296.1,189,20,LAP-46899,"Position radio eye garden why necessary. Before significant election life all. Military piece little level.
Nor probably top follow bit grow. City little from. Cost group clear national.",1.124,28 x 22 x 8 cm,36,2023-12-05T17:32:18.647898
209,Max Laptop 9933,Laptops,1061.86,103,6,LAP-48248,"Full question feel wife theory shake too medical. International especially officer or clearly coach. Though whole wall cup win.
Professional small approach bed. Soon learn close a.",1.289,35 x 17 x 8 cm,36,2023-06-07T20:12:30.394089
210,Elite Smartphone 3129,Smartphones,695.88,296,29,SMA-44510,"Beyond near hour defense line heavy. Relationship several benefit campaign several card significant.
Others move get prove wife agree. Concern dog gun may ability out huge back.",1.209,18 x 23 x 1 cm,12,2025-05-04T09:42:15.322390
211,Smart Smartphone 8971,Smartphones,1183.39,20,34,SMA-60738,"Clear radio strong let. Get run pretty identify. Claim can medical.
Main whether I. Field else plant. Southern traditional maybe sit Republican such will born.",2.724,37 x 20 x 10 cm,6,2024-05-05T10:24:48.656185
212,Mechanical Keyboard RGB Pro,Gaming,1810.86,42,10,GAM-91300,"Rather education front fast standard myself condition ground.
Foot player other ground already school eat.
Behind risk plan issue ever will ready. Try tough usually star notice.",3.81,15 x 10 x 4 cm,24,2025-01-17T17:27:59.422075
213,Advanced Laptop 7233,Laptops,3020.92,88,21,LAP-43801,"Mention rise front PM few husband. Wear either present third.
Soldier number yet past. Take during sometimes hear list set join. Everybody provide painting travel.",3.285,12 x 7 x 7 cm,36,2023-12-31T11:38:21.443236
214,Smart Gamin 302,Gaming,1283.81,39,27,GAM-24748,Onto play forget home upon actually future. State charge take material mother color. Eight allow system whose place no. Bar security morning fight seem later.,2.876,28 x 29 x 2 cm,12,2023-10-12T17:02:30.270655
215,Max Gamin 6832,Gaming,1344.1,197,12,GAM-14910,Nearly goal design too everything side. Black those whether seven fish movie hot teacher.,0.805,29 x 26 x 7 cm,,2025-06-02T21:55:38.981794
216,Advanced Accessorie 3992,Accessories,23760.914805471668,119,22,ACC-12651,,1.585,18 x 20 x 2 cm,24,2024-10-14T10:25:45.213827
217,Max Tablet 7359,Tablets,486.91,157,13,TAB-21703,Yet television audience indicate employee respond building. Positive move agency lose rise fall huge state. Guy respond memory.,4.576,23 x 28 x 8 cm,36,2023-12-11T03:42:22.535442
218,Ultra Laptop 1175,Laptops,2168.35,14,37,LAP-78719,,1.482,36 x 11 x 1 cm,6,2024-01-05T22:26:15.771724
219,Advanced Laptop 3362,Laptops,3023.47,38,44,LAP-26236,"Skin record nothing organization seven challenge. Ago they nor research fill. Nothing fight require pull.
Chair factor his PM. Surface on chance.
Hair meet thank might local.",1.931,29 x 19 x 3 cm,6,2024-10-04T17:37:55.281667
220,Premium Component 5830,Components,840.9,0,19,COM-21847,,0.343,37 x 23 x 4 cm,24,2023-07-21T12:43:49.166397
221,Sennheiser Momentum ,Audio,39015.18540999552,49,42,DUP-3167,"Deal change part rock build. Ground least tree trade style.
Scientist hair allow phone weight. Attack network movement scientist their wife argue. Mission each something consumer view tax direction.",4.024,17 x 13 x 10 cm,36,2024-12-26T00:52:09.426940
222,Elite Gamin 5813,Gaming,514.6,0,40,GAM-78241,Cultural bring bar culture. Operation our feel act involve toward result. Since crime south pass lead a.,0.601,26 x 26 x 6 cm,36,2023-08-12T07:26:21.326541
223,Elite Gamin 1145,Gaming,625.32,26,42,GAM-44229,Point Mrs consumer single several degree. Figure short line range until decision public. Choose short skill system particular church.,4.473,19 x 11 x 3 cm,24,2025-05-11T19:57:03.070868
224,Smart Laptop 9930,Laptops,1662.88,14,32,LAP-95904,"Window short affect region. Product eight strategy age into. For nice current Democrat me task.
During for look return. Weight water sit hope where religious economic.",1.649,23 x 17 x 7 cm,24,2024-12-19T05:37:04.864588
225,Advanced Accessorie 3743,Accessories,195.11,4,23,ACC-98063,,4.243,36 x 26 x 9 cm,12,2025-03-08T10:44:01.680336
226,Ultra Camera 4337,Cameras,2368.42,17,42,CAM-53992,"Authority possible fund month realize star. Threat husband family perhaps hope across.
Character talk once should mother president. Show off great they test. Country challenge final beyond.",1.841,33 x 14 x 7 cm,36,2025-02-26T22:41:14.311860
227,Max Accessorie 9693,Accessories,256.85,0,38,ACC-93151,"Any just cup side opportunity by. Medical official might clear.
Wait scientist group yet. Course world son growth effort born.",3.141,25 x 11 x 9 cm,6,2023-06-15T19:23:38.394499
228,Max Wearable 6868,Wearables,697.97,0,22,WEA-36253,"Animal suggest concern act million cell. Several article sort term produce he increase.
Common view whole score special consider. Skill air daughter idea.",2.89,39 x 19 x 3 cm,24,2024-05-08T11:44:27.321451
229,Advanced Smartphone 2997,Smartphones,275.42,166,37,SMA-32099,Key tax speak a live tonight either. Prevent half party respond local see. Cultural despite candidate walk difficult bank believe.,2.499,34 x 29 x 2 cm,6,2025-02-14T16:25:54.585765
230,Elite Smart Hom 7129,Smart Home,210.16,8,1,SMA-58903,Answer cup consider central alone some class follow. Lose tax could thank wife if yeah. Perform national brother evidence shoulder under front.,3.809,26 x 11 x 1 cm,24,2023-08-12T07:42:42.372444
231,Max Audi 5213,Audio,337.66,5,3,AUD-18557,"Build require call girl. Job worker bar term measure huge wait. Crime style develop admit safe government over.
Teacher modern song guy discover water most. City quite play teacher difficult us.",1.525,33 x 21 x 10 cm,6,2024-07-14T04:47:25.749863
232,Max Tablet 8131,Tablets,347.85,31,47,DUP-4675,"Type party where arrive improve. Lose civil will with.
Skill position hospital cover strong audience. Cell husband rise one public.",1.135,10 x 23 x 9 cm,36,2024-12-06T04:40:20.510278
233,Advanced Laptop 4290,Laptops,2482.46,63,2,LAP-95664,"We American study eight phone. One then reality some serve different. Become rule where ten.
Student white instead point tend exactly right. Toward policy forget project economy.",1.289,24 x 17 x 2 cm,6,2025-02-05T12:32:16.752786
234,Ultra Tablet 252,Tablets,844.75,5,45,TAB-89381,"Believe whom draw oil remember page spring. Girl small system.
Also human source season it traditional democratic. Agency watch better turn. Rock support effect.",4.17,13 x 21 x 10 cm,12,2024-07-01T09:35:32.982303
235,Premium Smartphone 3372,Smartphones,1280.95,18,19,SMA-63707,"Stock big reveal police fine market. Series dark task magazine.
Time senior where follow born ok. Record night series Mrs huge receive cup. Republican trip production system.",2.786,39 x 11 x 8 cm,12,2023-11-30T20:34:57.526093
236,Pro Laptop 9506,Laptops,1202.69,0,5,LAP-77070,Ago difference reason despite themselves. Possible democratic actually during again partner.,1.253,18 x 25 x 4 cm,36,2024-01-25T04:45:08.444565
237,Pro Gamin 2962,Gaming,1719.27,0,21,GAM-98705,Often benefit true world remain movement bit. Direction give reduce with start difference especially student.,0.668,37 x 29 x 1 cm,,2025-04-22T21:19:37.139313
238,Advanced Tablet 2893,Tablets,1089.25,45,24,TAB-22183,Product finally recent fight discussion. Watch certain much race fire according participant. Onto simple audience as including claim.,0.996,22 x 17 x 8 cm,6,2024-03-08T18:07:28.498993
239,Smart Camera 7009,Cameras,3248.57,13,11,CAM-17686,Suggest consumer find concern. These matter continue husband dinner worry. Fund sell model after.,4.565,25 x 30 x 10 cm,24,2025-02-11T04:42:44.949136
240,Elite Component 5975,Components,865.32,14,8,COM-73979,"Chance standard air although Mr when wait. Various blue raise operation cold.
Cover choice party front lawyer probably story. Want protect assume east center whether make.",2.259,12 x 13 x 6 cm,,2024-03-05T16:04:32.273157
241,Smart Wearable 9547,Wearables,256.79,137,7,WEA-91033,"Make focus machine. Fill yeah side side recognize month. Could become throughout.
Community finish answer agreement whom his goal. Appear stay them school model condition he. Treat better wear.",3.661,25 x 16 x 7 cm,12,2025-04-02T19:09:16.913195
242,Ultra Laptop 8383,Laptops,3100.05,946,21,LAP-74441,"Would step head study. Choose out perform. Think institution now tell phone.
Important act statement help successful. Stage major outside phone house.",3.425,11 x 21 x 4 cm,6,2025-01-25T07:48:42.839321
243,Smart Smart Hom 3950,Smart Home,238.77,42,29,SMA-75333,Never marriage camera yet. Long born also hold base really attack.,4.905,33 x 25 x 1 cm,6,2023-10-24T04:34:42.816086
244,Pro Laptop 1589,Laptops,3400.56,46,36,LAP-76628,"The attorney early. Explain claim natural fish born assume million. Peace college usually.
Century billion do. About around hold note tax several. Nor available power.",2.679,40 x 15 x 6 cm,24,2025-03-09T11:13:25.087681
245,Max Camera 9277,Cameras,2519.82,144,7,CAM-24945,It feel amount. Represent must dinner I style good. Inside individual safe know home hair.,1.187,20 x 16 x 5 cm,36,2024-07-11T05:32:13.352305
246,Galaxy S24 Ultra Ultra,Smartphones,1131.91,4,13,SMA-90065,"View it wall agency deal note. Event second nor choose.
Site cup in life test candidate use. Particular shake most physical along best. Beat across television apply.",4.658,22 x 11 x 8 cm,24,2025-03-23T06:12:40.172922
